ds,yhat1,recalculated_yhat1
1983-12-01,100.7463150024414,13.592668034223342
1984-01-01,101.36760711669922,13.676492613426888
1984-02-01,100.3842544555664,13.543818914314173
1984-03-01,101.5992431640625,13.707744891949353
1984-04-01,101.46049499511719,13.689025023130487
1984-05-01,101.08362579345703,13.638177923160974
1984-06-01,101.07441711425781,13.636935490428963
1984-07-01,101.11827850341797,13.642853258263541
1984-08-01,101.24674224853516,13.66018555514972
1984-09-01,100.85152435302734,13.606862853920482
1984-10-01,101.01759338378906,13.62926884669406
1984-11-01,101.42855834960938,13.684716138775721
1984-12-01,100.10028839111328,13.505506282760326
1985-01-01,101.16434478759766,13.649068509991702
1985-02-01,100.3857421875,13.544019638740636
1985-03-01,100.8043212890625,13.600494228143383
1985-04-01,100.64680480957031,13.579242143482967
1985-05-01,100.32856750488281,13.53630564462821
1985-06-01,100.54279327392578,13.565208932683031
1985-07-01,100.53898620605469,13.564695284022491
1985-08-01,101.3954849243164,13.680253880372014
1985-09-01,100.95683288574219,13.621071055246054
1985-10-01,101.45185852050781,13.687859792100962
1985-11-01,100.66178894042969,13.581263798732072
1985-12-01,99.95838165283203,13.486360260543737
1986-01-01,100.40795135498047,13.547016094153136
1986-02-01,99.87040710449219,13.474490756125483
1986-03-01,100.49977111816406,13.559404394012098
1986-04-01,101.09728240966797,13.64002047046031
1986-05-01,100.72543334960938,13.589850686760613
1986-06-01,100.39701843261719,13.545541026957633
1986-07-01,101.22378540039062,13.657088222845973
1986-08-01,100.36976623535156,13.541864167207223
1986-09-01,100.37909698486328,13.543123069635765
1986-10-01,100.4510498046875,13.552830926384402
1986-11-01,100.6778793334961,13.583434710605987
1986-12-01,99.74168395996094,13.457123461134175
1987-01-01,101.73802947998047,13.726469907548388
1987-02-01,101.00189208984375,13.627150431977839
1987-03-01,102.1366958618164,13.780257877704614
1987-04-01,101.99500274658203,13.76114067745695
1987-05-01,102.14604949951172,13.781519868201253
1987-06-01,102.09288024902344,13.774346286006232
1987-07-01,103.31395721435547,13.939093689755866
1987-08-01,103.00199127197266,13.89700332156036
1987-09-01,104.55925750732422,14.107109298910753
1987-10-01,104.41192626953125,14.08723140455459
1987-11-01,104.6314697265625,14.116852153764519
1987-12-01,104.02526092529297,14.035062611438512
1988-01-01,104.80276489257812,14.139963255420803
1988-02-01,104.03295135498047,14.036100202319929
1988-03-01,105.83653259277344,14.27943893920057
1988-04-01,105.85398864746094,14.281794105804419
1988-05-01,105.50920867919922,14.235276477310334
1988-06-01,106.30307006835938,14.342384060627698
1988-07-01,106.47010803222656,14.364920781617485
1988-08-01,106.81209564208984,14.411061665803437
1988-09-01,107.73285675048828,14.535290528020187
1988-10-01,107.63551330566406,14.522156974393225
1988-11-01,108.24596405029297,14.604518838673659
1988-12-01,107.93995666503906,14.563232397540045
1989-01-01,108.1700439453125,14.594275716787784
1989-02-01,108.19452667236328,14.597578920298165
1989-03-01,108.90797424316406,14.693837091026126
1989-04-01,109.18138885498047,14.730726123186123
1989-05-01,108.76891326904297,14.675075018609899
1989-06-01,110.29911804199219,14.88152987011071
1989-07-01,110.03189849853516,14.845476675049627
1989-08-01,111.08788299560547,14.98794984359793
1989-09-01,110.63163757324219,14.926393323459521
1989-10-01,110.94583892822266,14.96878529297274
1989-11-01,110.73885345458984,14.94085886379338
1989-12-01,109.94570922851562,14.833848039943131
1990-01-01,110.38880920410156,14.89363097963642
1990-02-01,110.9472427368164,14.96897469448284
1990-03-01,111.67276763916016,15.06686233581128
1990-04-01,111.21631622314453,15.005278023059978
1990-05-01,111.40160369873047,15.030276963681057
1990-06-01,111.0093994140625,14.977360858084914
1990-07-01,111.65534973144531,15.064512315987596
1990-08-01,111.38441467285156,15.027957824538372
1990-09-01,111.60466766357422,15.057674303859383
1990-10-01,111.3694839477539,15.025943374781498
1990-11-01,112.40010070800781,15.164993934519575
1990-12-01,110.67166137695312,14.931793325209426
1991-01-01,112.3210220336914,15.154324659235975
1991-02-01,111.19463348388672,15.002352593213764
1991-03-01,112.13072967529297,15.128650461057145
1991-04-01,111.6561050415039,15.06461422223488
1991-05-01,111.89994049072266,15.097512441054356
1991-06-01,111.73123931884766,15.074751320449343
1991-07-01,112.3292465209961,15.15543430503971
1991-08-01,112.78679656982422,15.217166845059786
1991-09-01,112.96363830566406,15.24102628855217
1991-10-01,113.05751037597656,15.253691485184051
1991-11-01,112.88679504394531,15.230658614586282
1991-12-01,111.78384399414062,15.081848730297912
1992-01-01,112.81796264648438,15.221371764455203
1992-02-01,111.93260192871094,15.10191911423227
1992-03-01,112.94929504394531,15.23909109920985
1992-04-01,113.22337341308594,15.27606968534473
1992-05-01,112.4729232788086,15.174819137855993
1992-06-01,112.93385314941406,15.237007682598755
1992-07-01,113.14590454101562,15.265617604184126
1992-08-01,113.29916381835938,15.286295308178044
1992-09-01,113.79974365234375,15.353833416225088
1992-10-01,114.12498474121094,15.397714863918274
1992-11-01,113.28180694580078,15.283953523202626
1992-12-01,113.14615631103516,15.26565157293322
1993-01-01,112.91279602050781,15.23416665994726
1993-02-01,112.53114318847656,15.18267415374496
1993-03-01,112.97976684570312,15.24320234720625
1993-04-01,113.94949340820312,15.374037616443756
1993-05-01,112.67393493652344,15.201939581261398
1993-06-01,113.7839584350586,15.3517036785925
1993-07-01,113.93932342529297,15.372665484851568
1993-08-01,113.54167938232422,15.319015448403785
1993-09-01,113.44265747070312,15.30565543644953
1993-10-01,113.49325561523438,15.312482125661383
1993-11-01,113.10013580322266,15.259442497341258
1993-12-01,112.54185485839844,15.184119369615502
