Date,Open,High,Low,Close,Adj Close,Volume
2012-01-01,2.434000,2.460400,2.304000,2.347000,2.347000,0
2012-02-01,2.347100,2.387300,2.273900,2.359900,2.359900,0
2012-03-01,2.331300,2.418300,2.292300,2.377600,2.377600,0
2012-04-01,2.380600,2.381100,2.304000,2.330200,2.330200,0
2012-05-01,2.325400,2.346700,2.264600,2.297000,2.297000,0
2012-06-01,2.305200,2.322800,2.225000,2.244500,2.244500,0
2012-07-01,2.286000,2.290800,2.169800,2.209200,2.209200,0
2012-08-01,2.204500,2.294900,2.153300,2.284750,2.284750,0
2012-09-01,2.251500,2.365100,2.251500,2.307710,2.307710,0
2012-10-01,2.300400,2.365200,2.286700,2.329380,2.329380,0
2012-11-01,2.324120,2.334070,2.237100,2.315250,2.315250,0
2012-12-01,2.319400,2.381070,2.274900,2.364750,2.364750,0
2013-01-01,2.352800,2.403570,2.309000,2.400180,2.400180,0
2013-02-01,2.389690,2.401160,2.350370,2.363330,2.363330,0
2013-03-01,2.348730,2.368840,2.299080,2.300570,2.300570,0
2013-04-01,2.301220,2.365430,2.298550,2.348980,2.348980,0
2013-05-01,2.359000,2.459320,2.320990,2.439280,2.439280,0
2013-06-01,2.435900,2.567630,2.409700,2.504180,2.504180,0
2013-07-01,2.504530,2.580320,2.472500,2.549730,2.549730,0
2013-08-01,2.573200,2.766900,2.532000,2.696500,2.696500,0
2013-09-01,2.677100,2.759990,2.615900,2.750230,2.750230,0
2013-10-01,2.731360,2.747130,2.646000,2.737630,2.737630,0
2013-11-01,2.711010,2.764800,2.695350,2.743200,2.743200,0
2013-12-01,2.743200,3.013400,2.740200,2.927160,2.927160,0
2014-01-01,2.952750,3.271880,2.937960,3.068740,3.068740,0
2014-02-01,3.047600,3.086800,2.962180,3.029380,3.029380,0
2014-03-01,3.047700,3.128300,2.946980,2.990980,2.990980,0
2014-04-01,2.943380,2.977950,2.870410,2.930800,2.930800,0
2014-05-01,2.929050,2.934700,2.829000,2.839890,2.839890,0
2014-06-01,2.856150,2.924650,2.810680,2.896900,2.896900,0
2014-07-01,2.899690,2.917500,2.802880,2.856080,2.856080,0
2014-08-01,2.864930,2.928700,2.833000,2.837690,2.837690,0
2014-09-01,2.836290,2.908000,2.781630,2.892960,2.892960,0
2014-10-01,2.876590,2.922170,2.757500,2.771380,2.771380,0
2014-11-01,2.733500,2.828290,2.733500,2.759710,2.759710,0
2014-12-01,2.759600,3.024000,2.751100,2.825270,2.825270,0
2015-01-01,2.824870,2.840600,2.606850,2.759600,2.759600,0
2015-02-01,2.754730,2.840400,2.727700,2.804830,2.804830,0
2015-03-01,2.796820,2.882850,2.739230,2.820100,2.820100,0
2015-04-01,2.791080,3.001200,2.768490,2.952150,2.952150,0
2015-05-01,2.996820,3.089640,2.851700,2.909850,2.909850,0
2015-06-01,2.915410,3.125990,2.909840,3.032900,3.032900,0
2015-07-01,2.985740,3.081930,2.873030,3.051880,3.051880,0
2015-08-01,3.035010,3.473840,3.020640,3.272170,3.272170,0
2015-09-01,3.274020,3.478710,3.273700,3.419960,3.419960,0
2015-10-01,3.377850,3.429530,3.172300,3.224100,3.224100,0
2015-11-01,3.138380,3.158440,2.994250,3.095760,3.095760,0
2015-12-01,3.077250,3.303120,3.042810,3.192800,3.192800,0
2016-01-01,3.167850,3.354340,3.159370,3.198040,3.198040,0
2016-02-01,3.198640,3.345280,3.198090,3.265250,3.265250,0
2016-03-01,3.226080,3.249990,3.120650,3.213740,3.213740,0
2016-04-01,3.205240,3.261580,3.129780,3.199000,3.199000,0
2016-05-01,3.140350,3.397530,3.109560,3.293300,3.293300,0
2016-06-01,3.281470,3.319050,3.188810,3.218390,3.218390,0
2016-07-01,3.199570,3.406550,3.165800,3.335370,3.335370,0
2016-08-01,3.335170,3.380510,3.276400,3.303930,3.303930,0
2016-09-01,3.301830,3.376250,3.270900,3.363190,3.363190,0
2016-10-01,3.369550,3.441380,3.335610,3.412680,3.412680,0
2016-11-01,3.394330,3.680190,3.389700,3.629930,3.629930,0
2016-12-01,3.640500,3.813200,3.609530,3.714970,3.714970,0
2017-01-01,3.707780,4.175600,3.701600,4.043970,4.043970,0
2017-02-01,4.074190,4.093610,3.763620,3.818300,3.818300,0
2017-03-01,3.849470,4.015770,3.823160,3.905010,3.905010,0
2017-04-01,3.772840,3.982930,3.772840,3.873520,3.873520,0
